
Catalog of Globular Cluster Systems in Galaxies

This version:  January 2013

********************************************************************************

                        COPYRIGHT NOTICE!

        THE DATA IN THIS CATALOG ARE SUPPLIED FREE OF CHARGE TO
ALL USERS.  ANY THIRD PARTY WHO SUPPLIES THIS CATALOG IN TURN TO
OTHER USERS MUST REFER TO THE ORIGINAL SOURCE, WHICH IS THIS WEBSITE,
AND MUST DO SO WITHOUT CHARGE OF ANY FEE.

*******************************************************************************

Please acknowledge the use of this catalog in any published work
you derive from it.  The proper citation is the original paper,

	Harris, W.E., Harris, G.L.H, and Alessi, M. 2013, ApJ 772, 82.

 	Explanation of table by column:
1,2:  Galaxy identification
3,4:  Galaxy right ascension (decimal hours) and declination (decimal degrees)
5:     Morphological type
6,7,8:  Galaxy distance, uncertainty, and distance estimation method adopted
9,10,11:  Foreground extinction, absolute visual magnitude, and estimated uncertainty
12,13:  Absolute K-band magnitude (near infrared) and uncertainty
14,15,16:  Estimated total number of globular clusters in the galaxy, uncertainty, and literature source (see reference list following the table)
17,18:  Velocity dispersion of the central bulge of the galaxy, and uncertainty
19,20:  Effective radius enclosing half the galaxy light, and uncertainty
21,22:  "Dynamical mass" of galaxy, defined as  (4 R_e sig_e^2 / G), and uncertainty
23,24:  Calculated total mass in the globular cluster system, and uncertainty
25,26,27:  Mass of central black hole in the galaxy, and upper and lower uncertainties


 Galaxy      Other ID                RA         DEC      Type       D       +-     Method        A_V     M_V^T    +-     M_K      +-       N(GC)     +-    Source      sig_e    +-       R_e     +-    lg M_d     +-     lg M_G    +-    lg M_B    +      -
                                     hr         deg                Mpc                                                                                                 km/s              kpc            M_sun             M_sun           M_sun

MilkyWay         nid                 nd          nd       Sbc       nd      nd    geometry      0.000  -21.300   0.300   nd       nd       160.0    10.0   44         105.00   20.00    0.70    0.10    9.856    0.116    7.66    0.03    6.61    0.04    0.04
VCC-1948        nid              12.7161205   10.6819293  E       16.90    1.28   SBF           0.066  -16.060   0.200   nd       nd         2.5     3.0   77           nd      nd      nd      nd      nd       nd       5.59    0.34    nd      nd      nd  
NGC4649        VCC-1978/M60      12.7277890   11.5526723  E2      17.09    0.61   SBF           0.088  -22.410   0.200 -25.434   0.102    4000.0   500.0   77         385.00   19.00    7.12    0.25   11.992    0.033    9.13    0.05    9.63    0.09    0.11
NGC4660        VCC-2000          12.7422139   11.1905278  E       14.97    0.48   SBF           0.109  -19.740   0.200 -22.682   0.101     205.0    28.0   77         188.50    3.40    1.07    0.03   10.548    0.017    7.68    0.06    nd      nd      nd  
IC3735         VCC-2019          12.7556684   13.6928515  E       17.09    0.62   SBF           0.060  -17.360   0.200 -19.792   0.130      23.9     6.1   77          37.00    7.00    1.50    0.05    9.281    0.104    6.63    0.10    nd      nd      nd  
NGC4673          nid             12.7596327   27.0607672  E      101.90    7.10   Hubble        0.040  -21.280   0.200 -25.176   0.103     750.0   290.0   65         231.70    5.20    nd      nd      nd       nd       8.33    0.14    nd      nd      nd  
IC3773         VCC-2048          12.7875832   10.2035497  E       14.38    0.94   GCLF          0.088  -17.850   0.200 -19.870   0.122      17.2     5.4   77          62.20   11.70    1.32    0.09    9.678    0.105    6.51    0.12    nd      nd      nd  
IC3779         VCC-2050          12.7890441   12.1665506  E       15.80    0.63   SBF           0.064  -16.360   0.200 -18.191   0.160       9.2     4.3   77          43.00    5.00    1.18    0.05    9.306    0.068    6.17    0.17    nd      nd      nd  
NGC4697          nid             12.8099952   -5.8006020  E6      12.01    0.78   SBF           0.101  -21.270   0.200 -24.042   0.104     229.0    70.0   54         177.00    8.00    4.19    0.27   11.087    0.038    7.81    0.12    8.28    0.08    0.10
NGC4754        VCC-2092          12.8715444   11.3136389  SB0     16.05    0.55   SBF           0.111  -20.530   0.200 -23.625   0.104     110.0    12.0   42a/77     186.40    3.20    2.26    0.10   10.864    0.021    7.45    0.04    nd      nd      nd  
NGC4762        VCC-2095          12.8822015   11.2307746  SB0     23.88    2.50   GCLF          0.072  -21.700   0.240 -24.599   0.104     240.0    25.0   42a/77     147.10   10.30   10.44    1.09   11.323    0.058    7.86    0.04    nd      nd      nd  
NGC4816          nid             12.9367011   27.7454349  E/S0   102.70    7.20   Hubble        0.030  -22.250   0.350 -25.349   0.108    6100.0  1400.0   65         244.50    8.10   10.82    0.76   11.779    0.035    9.30    0.09    nd      nd      nd  
A1644-1        PGC44257          12.9532222  -17.4094444  E/S0   208.00   14.60   Hubble        0.194  -23.700   0.200 -26.957   0.116   17700.0  4600.0   6            nd      nd      nd      nd      nd       nd       9.85    0.10    nd      nd      nd  
NGC4839          nid             12.9567653   27.4976006  E      109.10    7.60   Hubble        0.032  -23.160   0.200 -25.994   0.106    6500.0  2000.0   53         284.80    4.70   19.36    1.35   12.165    0.031    9.38    0.12    nd      nd      nd  
NGC4840          nid             12.9591072   27.6102687  E       90.80    6.40   Hubble        0.032  -21.120   0.280 -24.235   0.105    1290.0   620.0   65         238.10    6.10    3.03    0.20   11.204    0.032    8.56    0.17    nd      nd      nd  
IC3959          nid              12.9856104   27.7842170  E      105.10    7.40   Hubble        0.035  -20.990   0.200 -24.020   0.107     880.0   330.0   65         208.00    4.50    3.07    0.22   11.092    0.033    8.38    0.14    nd      nd      nd  
PGC044560      MGC+5-31-063      12.9871855   28.0764001  E/S0   115.60    8.10   Hubble        0.032  -20.880   0.200 -23.084   0.131    2150.0   650.0   65         126.00   10.90    nd      nd      nd       nd       8.76    0.11    nd      nd      nd  
IC3976          nid              12.9914916   27.8503408  E      101.90    7.10   Hubble        0.031  -20.530   0.200 -23.548   0.107     920.0   250.0   65         252.00    7.90    1.91    0.13   11.053    0.034    8.37    0.10    nd      nd      nd  
NGC4874          nid             12.9932422   27.9593362  E/cD   106.40    7.50   Hubble        0.028  -23.480   0.260 -26.278   0.104   20000.0  2000.0   7/47/78    278.90    4.80   16.12    1.14   12.067    0.031    9.89    0.04    nd      nd      nd  
NGC4881          nid             12.9993938   28.2464297  E      100.10    7.00   Hubble        0.036  -20.470   0.230 -24.615   0.107     295.0    89.0   47         199.60    3.00    5.43    0.38   11.304    0.031    7.88    0.11    nd      nd      nd  
NGC4886          nid             13.0012407   27.9875050  E       95.10    6.70   Hubble        0.031  -21.060   0.250 -26.487   0.102    1220.0   480.0   65         163.20    2.60    4.54    0.32   11.051    0.031    8.53    0.14    nd      nd      nd  
IC4012          nid              13.0022101   28.0786343  E      107.70    7.50   Hubble        0.029  -20.410   0.200 -23.573   0.108     620.0   410.0   65         190.80    3.50    nd      nd      nd       nd       8.20    0.22    nd      nd      nd  
NGC4889          nid             13.0022369   27.9770315  E4      96.60    6.80   Hubble        0.032  -23.470   0.200 -26.521   0.102   11000.0  2000.0   7/47/65    400.80    5.60   15.11    1.06   12.354    0.031    9.63    0.07   10.32    0.25    0.62
IC4021          nid              13.0040979   28.0413075  E       85.80    6.00   Hubble        0.029  -20.160   0.200 -22.893   0.110     160.0   159.0   65         171.90    5.80    1.47    0.10   10.607    0.035    7.59    0.30    nd      nd      nd  
IC4026          nid              13.0061434   28.0469936  S0     120.90    8.50   Hubble        0.029  -21.010   0.200 -23.861   0.115     650.0   190.0   65         142.70    5.80    4.22    0.30   10.903    0.038    8.25    0.11    nd      nd      nd  
IC4041          nid              13.0113535   27.9964853  E      105.40    7.40   Hubble        0.029  -20.860   0.200 -23.452   0.118     470.0   160.0   65         135.60    3.90    5.83    0.41   10.999    0.034    8.10    0.13    nd      nd      nd  
IC4045          nid              13.0135192   28.0907897  E      103.00    7.20   Hubble        0.031  -21.390   0.200 -24.168   0.104    1100.0   510.0   65         217.10    3.90    3.18    0.22   11.144    0.031    8.50    0.17    nd      nd      nd  
IC4051          nid              13.0151330   28.0074725  E      129.40    9.10   Hubble        0.030  -21.260   0.200 -25.150   0.105    6700.0   530.0   47         250.10    5.10   12.19    0.86   11.851    0.032    9.28    0.03    nd      nd      nd  
NGC4926          nid             13.0316005   27.6244299  E/S0   116.50    8.20   Hubble        0.030  -22.360   0.250 -25.443   0.103    1300.0   300.0   47         275.80    3.80    7.11    0.50   11.702    0.031    8.63    0.09    nd      nd      nd  
NGC4980          nid             13.1528098  -28.6416627  Sa      24.80    1.80   Hubble        0.196  -19.900   0.200 -21.148   0.126      43.0    27.0   22           nd      nd      1.95    0.14    nd       nd       7.01    0.21    nd      nd      nd  
ESO-269-58        nid            13.1758104  -46.9919891  I0       3.80    0.40   TRGB          0.291  -15.780   0.200 -17.305   0.110       8.0     3.0   37           nd      nd      0.66    0.10    nd       nd       6.08    0.14    nd      nd      nd  
A1689-BCG        nid             13.1915278  -01.3380556  E/cD   790.00   40.00   Hubble        0.073    nd      nd      nd       nd     30000.0 20000.0   66b          nd      nd      nd      nd      nd       nd      10.10    0.40    nd      nd      nd  
NGC5018          nid             13.2169453  -19.5182010  E3      36.20    6.00   SNIa/GCLF     0.317  -22.340   0.400 -25.094   0.101    1000.0   300.0   49         209.60    4.90    3.87    0.64   11.199    0.068    8.52    0.11    nd      nd      nd  
ESO-269-66        nid            13.2191017  -44.8900029  dE/N     3.82    0.40   TRGB          0.255  -13.890   0.200   nd       nd         4.0     2.0   37           nd      nd      0.72    0.10    nd       nd       5.72    0.18    nd      nd      nd  
NGC5102          nid             13.3660052  -36.6300953  S0       3.29    0.24   TRGB          0.182  -18.140   0.200 -20.689   0.107       7.0     6.0   73          82.00    8.00    1.03    0.08    9.810    0.063    6.13    0.27    nd      nd      nd  
KKS-55         LEDA-2815822      13.3702222  -42.7280556  dSph     3.94    0.40   TRGB          0.400  -11.170   0.200   nd       nd         1.0     1.0   37           nd      nd      nd      nd      nd       nd       5.07    0.30    nd      nd      nd  
NGC5128        CentaurusA        13.4244790  -43.0181183  E3p      3.80    0.07   TRGB          0.381  -21.260   0.200 -23.998   0.101    1300.0   300.0   43         150.00    7.00    6.15    0.12   11.110    0.029    8.57    0.09    7.71    0.13    0.19
ESO-509-G008        nid          13.4455899  -27.4393019  E/cD   155.00    8.00   Hubble        0.149  -23.350   0.200 -26.096   0.106    6000.0  1500.0   48         317.60   12.10   10.00    3.00   11.972    0.116    9.36    0.10    nd      nd      nd  
ESO-444-G046        nid          13.4658010  -31.4954581  E/cD   205.00   10.00   Hubble        0.137  -23.800   0.200 -27.080   0.113   32500.0  8000.0   48         251.90   13.20   30.00    5.00   12.248    0.073   10.12    0.10    nd      nd      nd  
NGC5170          nid             13.4968794  -17.9664979  Sc      21.58    4.36   TF            0.264  -20.800   0.590 -24.071   0.105     500.0   200.0   27/32       90.20   10.10    6.28    1.27   10.677    0.099    8.12    0.15    nd      nd      nd  
NGC5194        M51               13.4979698   47.1951510  Sbc      7.62    0.43   PNLF          0.115  -21.160   0.200 -23.926   0.103     220.0    45.0   16          96.00    8.70    4.62    0.26   10.598    0.057    7.79    0.08    0.00    6.32    0.00
NGC5193          nid             13.5315347  -33.2339269  E       37.99    5.00   SBF           0.186  -21.530   0.330 -24.233   0.103    5878.0   355.0   74         205.70    6.20    4.20    0.55   11.219    0.056    9.24    0.03    nd      nd      nd  
IC4296         A3565-BCG         13.6108474  -33.9658219  E       49.68    2.73   SBF           0.169  -23.080   0.200 -25.997   0.102    6400.0   300.0   74         322.00   16.00   10.71    0.59   12.014    0.037    9.37    0.02    9.13    0.06    0.07
NGC5236        M83               13.6169084  -29.8655630  Sc       4.61    0.28   Cepheids      0.218  -21.000   0.200 -23.723   0.103      43.0    12.0   70           nd      nd      4.11    0.25    nd       nd       7.07    0.11    nd      nd      nd  
NGC5237          nid             13.6275152  -42.8468981  Irr      3.40    0.30   TRGB          0.263  -15.450   0.200 -17.835   0.119       3.0     2.0   37           nd      nd      0.40    0.10    nd       nd       5.64    0.22    nd      nd      nd  
UGC-8638        nid              13.6554299   24.7752243  Im       4.27    0.50   TRGB          0.035  -13.690   0.200   nd       nd         3.0     2.0   37           nd      nd      0.56    0.06    nd       nd       5.59    0.22    nd      nd      nd  
ESO-383-G076        nid          13.7912197  -32.8649733  E/cD   169.00    8.00   Hubble        0.148  -24.100   0.200 -26.842   0.107   22500.0  5500.0   48         322.60    9.20   55.00   20.00   12.726    0.135    9.98    0.09    nd      nd      nd  
IC4329          nid              13.8181357  -30.2957340  E/S0    68.70    4.80   Hubble        0.168  -23.090   0.350 -26.148   0.103    2970.0   530.0   20         296.00    6.00   19.53    1.40   12.202    0.032    9.04    0.07    nd      nd      nd  
NGC5322          nid             13.8208889   60.1903889  E3      31.19    3.48   SBF           0.047  -22.290   0.280 -25.315   0.104    1600.0   500.0   20         232.00    4.50    5.09    0.57   11.406    0.047    8.72    0.12    nd      nd      nd  
NGC5457        M101              14.0534969   54.3490580  SABc     6.89    0.39   Cepheids/TRGB 0.028  -21.360   0.220 -23.682   0.112     150.0    40.0   16          73.10   23.80   11.50    0.65   10.757    0.166    7.64    0.10    nd      nd      nd  
NGC5557          nid             14.3071234   36.4938702  E1      38.93    8.00   SBF           0.019  -21.960   0.500 -24.873   0.101    3500.0  1000.0   20         253.00    9.40    5.67    1.16   11.528    0.083    9.04    0.11    nd      nd      nd  
ESO-223-09         nid           15.0190530  -48.2918413  IAB      6.49    0.60   TRGB          0.714  -16.470   0.200 -16.111   0.245       8.0     3.0   37           nd      nd      1.98    0.20    nd       nd       6.11    0.14    nd      nd      nd  
NGC5813          nid             15.0198046    1.7020095  E1      32.21    2.78   SBF           0.189  -22.270   0.230 -25.147   0.105    2900.0   400.0   42a        236.50    3.40    8.93    0.77   11.667    0.037    8.98    0.06    8.84    0.07    0.07
NGC5845          nid             15.1002153    1.6339721  E       25.94    2.63   SBF           0.177  -19.770   0.260 -22.977   0.102     180.0    30.0   60         234.00   11.00    nd      nd      nd       nd       7.62    0.07    8.69    0.12    0.16
NGC5846          nid             15.1081241    1.6062912  E0      24.89    2.40   SBF           0.182  -22.120   0.250 -25.065   0.103    4670.0  1195.0   28         239.30    4.30    7.56    0.73   11.605    0.041    9.17    0.10    9.04    0.07    0.09
NGC5866          nid             15.1082150   55.7633012  S0-a    15.35    0.87   SBF           0.044  -21.080   0.200 -24.062   0.102     370.0    70.0   14/42a     159.00    9.80    3.01    0.17   10.850    0.043    8.01    0.08    nd      nd      nd  
ESO-274-01        nid            15.2370622  -46.8091057  Scd      3.09    0.30   TRGB          0.704  -17.470   0.200 -19.169   0.113      10.0     3.0   37           nd      nd      1.68    0.20    nd       nd       6.25    0.11    nd      nd      nd  
NGC5907          nid             15.2649038   56.3289056  SABc    13.22    2.63   TF            0.035  -20.300   0.550 -23.853   0.101     170.0    65.0   59           nd      nd      7.83    1.56    nd       nd       7.63    0.14    nd      nd      nd  
UGC-9799       A2052-BCG         15.2790399    7.0214564  E/cD   151.00    8.00   Hubble        0.101  -23.100   0.200 -26.358   0.114   18000.0  4500.0   48         215.80   11.60    3.30    0.50   11.155    0.068    9.82    0.10    0.00    9.69    0.00
NGC5982          nid             15.6443806   59.3558889  E3      41.47    2.70   SBF           0.059  -22.020   0.200 -24.944   0.101    1497.0   202.0   92         238.90    4.90    4.79    0.31   11.406    0.030    8.67    0.05    nd      nd      nd  
UGC-9958       A2107-BCG         15.6608126   21.7831069  E/cD   180.60    9.00   Hubble        0.159  -23.300   0.400 -26.393   0.108   27000.0 13000.0   43a/46a    295.20   14.30   37.10    4.00   12.478    0.050   10.01    0.17    nd      nd      nd  
A2124-1        UGC-10012         15.7497222   36.1094444  E      284.20   19.90   Hubble        0.068  -23.500   0.200 -26.692   0.119   17900.0  4700.0   6          303.50   15.00    9.00    1.00   11.887    0.054    9.85    0.10    nd      nd      nd  
A2147-1        UGC-10143         16.0380556   15.9747222  E      153.40   10.70   Hubble        0.086  -23.080   0.200 -25.706   0.107   13100.0  3300.0   6          277.70   16.50   23.36    1.63   12.224    0.045    9.68    0.10    nd      nd      nd  
UGC-10143        nid             16.0380582   15.9745596  E/cD   153.00    8.00   Hubble        0.086  -23.000   0.200   nd       nd     14000.0  3500.0   48         277.70   16.50   23.40    5.70   12.225    0.100    9.71    0.10    nd      nd      nd  
NGC6041A       A2151-1           16.0766111   17.7216667  S0     151.80   10.60   Hubble        0.119  -22.000   0.300 -25.949   0.106   19800.0  4900.0   6            nd      nd      nd      nd      nd       nd       9.79    0.10    nd      nd      nd  
NGC6039        A2151-2           16.0776622   17.7009754  E/S0   150.60   10.50   Hubble        0.143  -22.080   0.240 -25.266   0.116    5030.0   300.0   6          202.00   11.60   12.32    0.86   11.670    0.044    9.20    0.03    nd      nd      nd  
A2152-2        PGC57067          16.0906667   16.4427778  S0     136.40    9.60   Hubble        0.110  -21.420   0.200 -24.785   0.116    5100.0   340.0   6            nd      nd      nd      nd      nd       nd       9.17    0.03    nd      nd      nd  
A2152-1        PGC57068          16.0914444   16.4358333  E      190.00   13.30   Hubble        0.110  -22.600   0.200 -25.716   0.108    7800.0  2060.0   6          304.20   25.80    2.35    0.30   11.306    0.070    9.43    0.10    nd      nd      nd  
NGC6086        A2162-1           16.2098828   29.4844782  E      137.30    9.60   Hubble        0.124  -23.040   0.220 -25.729   0.105    9200.0  2500.0   7          334.40    9.50   16.23    1.13   12.228    0.034    9.53    0.10    9.56    0.16    0.16
ESO-137-18        nid            16.3497628  -60.4875927  Sasc     5.00    1.00   TRGB          0.667  -17.910   0.500 -18.551   0.124       7.0     3.0   37           nd      nd      1.02    0.10    nd       nd       6.12    0.15    nd      nd      nd  
NGC6160        A2197-2           16.4613916   40.9260593  E      136.40    9.60   Hubble        0.016  -22.770   1.000 -25.897   0.107    4560.0  1080.0   7          251.20   10.60    nd      nd      nd       nd       9.20    0.09    nd      nd      nd  
NGC6166        A2199-BCG         16.4773144   39.5513608  E/cD   130.40    9.10   Hubble        0.038  -23.700   0.270 -26.412   0.105   17000.0  4000.0   7          308.20    6.90   30.06    2.10   12.424    0.032    9.84    0.09    nd      nd      nd  
NGC6173        A2197-1           16.4958098   40.8115694  E      125.80    8.80   Hubble        0.024  -23.410   0.280 -26.137   0.104    4600.0  2600.0   7          277.80   13.20   16.31    1.14   12.069    0.040    9.25    0.19    nd      nd      nd  
NGC6384          nid             17.5400644    7.0603015  Sbc     25.94    4.54   TF            0.409  -22.060   0.420 -24.586   0.106      60.0    13.0   22         128.30    8.70   12.49    2.19   11.282    0.079    7.28    0.09    nd      nd      nd  
NGC6397-GAL1     nid             17.6867220  -53.7212500  E      375.00   15.00   Hubble        0.500  -20.500   1.000   nd       nd      1600.0   600.0   55b          nd      nd      nd      nd      nd       nd       8.61    0.20    nd      nd      nd  
NGC6482          nid             17.8635490   23.0719031  E       55.14    2.80   Hubble        0.328  -22.630   0.200 -25.371   0.101    1140.0    87.0   1a         309.80   11.70    nd      nd      nd       nd       8.59    0.03    nd      nd      nd  
NGC6703          nid             18.7885588   45.5505326  E/S0    26.67    3.81   SBF           0.294  -21.100   0.440 -23.913   0.101     610.0   200.0   61         178.50    3.80    2.88    0.41   10.931    0.059    8.23    0.12    nd      nd      nd  
Sagittarius-dE        nid        18.9220833  -30.5452778  dE       0.03    0.00   RRLyr         0.160  -13.900   0.500   nd       nd         6.0     2.0   63           nd      nd      nd      nd      nd       nd       5.90    0.12    nd      nd      nd  
NGC6822          nid             19.7491622  -14.8003417  Irr      0.52    0.05   Cepheids/RRL  0.659  -15.500   0.300 -16.927   0.110       7.0     1.0   52/100       nd      nd      nd      nd      nd       nd       6.02    0.15    nd      nd      nd  
ESO-185-IG013        nid         19.7501465  -54.2508181  S       78.40    5.50   Hubble        0.149  -19.840   0.360 -21.607   0.149      20.0    10.0   1            nd      nd      nd      nd      nd       nd       6.67    0.18    nd      nd      nd  
KK-246         ESO-461-G036      20.0659444  -31.6816667  I        7.83    0.80   TRGB          0.812  -13.770   0.200   nd       nd         2.0     2.0   37           nd      nd      nd      nd      nd       nd       5.42    0.30    nd      nd      nd  
NGC6861          nid             20.1220790  -48.3702995  E/S0    28.05    5.06   SBF           0.180  -21.310   0.530 -24.551   0.101    1860.0   600.0   61         414.00   20.00    2.64    0.48   11.624    0.077    8.73    0.12    0.00    9.15    0.00
NGC6946          nid             20.5812748   60.1537739  SABc     6.08    0.62   PNLF          1.133  -21.240   0.330 -23.673   0.106      90.0    40.0   16           nd      nd      5.33    0.54    nd       nd       7.41    0.16    nd      nd      nd  
NGC7014          nid             21.1311540  -47.1790166  E       49.46    3.40   SBF           0.109  -21.190   0.200 -24.332   0.103    1634.0    88.0   74         294.50    9.10    5.57    0.38   11.652    0.034    8.66    0.02    nd      nd      nd  
NGC7049          nid             21.3164289  -48.5629004  S0      29.92    3.19   SBF           0.180  -21.890   0.270 -25.153   0.102    2700.0   800.0   20         246.50    3.90    4.62    0.49   11.417    0.045    8.92    0.11    nd      nd      nd  
NGC7173          nid             22.0342610  -31.9737228  E       31.33    2.87   SBF           0.088  -20.540   0.330 -23.532   0.103     400.0    30.0   18         203.90    4.80    4.54    0.42   11.245    0.041    8.01    0.03    nd      nd      nd  
IC5176          nid              22.2488373  -66.8493944  Sc      23.51    4.10   TF            0.085  -20.630   0.200 -23.126   0.104     132.0    25.0   39           nd      nd      2.22    0.39    nd       nd       7.54    0.08    nd      nd      nd  
NGC7331          nid             22.6178186   34.4156195  Sbc     15.07    0.71   Cepheids      0.301  -21.710   0.200 -24.895   0.102     210.0   130.0   82         137.20    3.50    6.22    0.29   11.037    0.025    7.80    0.21    0.00    8.20    0.00
NGC7332          nid             22.6234762   23.7982595  S0      23.01    2.22   SBF           0.124  -20.830   0.250 -23.811   0.101     175.0    15.0   33/100a    124.90    3.30    1.64    0.16   10.376    0.043    7.67    0.04    7.11    0.17    0.21
NGC7339          nid             22.6297367   23.7867242  Sbc     23.10    2.22   TF            0.123  -20.390   0.250 -23.269   0.102      75.0    10.0   100a         nd      nd      nd      nd      nd       nd       7.28    0.05    nd      nd      nd  
IC1459          nid              22.9529445  -36.4621765  E       29.24    4.02   SBF           0.043  -22.040   0.200 -25.530   0.103    2100.0   730.0   60         306.10    7.80    4.95    0.68   11.635    0.058    8.82    0.13    9.45    0.14    0.25
NGC7457          nid             23.0166472   30.1448889  S0      13.24    1.34   SBF           0.172  -19.580   0.250 -22.436   0.103     160.0    50.0   17/19/42    67.00    3.00    2.06    0.21    9.935    0.049    7.56    0.12    7.00    0.20    0.40
NGC7626          nid             23.3451444    8.2170556  E       47.42    2.24   SBF           0.240  -22.510   0.200 -25.374   0.102    2833.0   300.0   92         271.30    4.40    8.89    0.42   11.784    0.022    8.98    0.04    0.00    8.91    0.00
NGC7720        A2634-1           23.6415185   27.0316622  E      124.50    8.70   Hubble        0.228  -23.350   0.350 -26.225   0.105   18000.0  4600.0   7/48       359.10   10.70   18.53    1.29   12.347    0.034    9.84    0.10    nd      nd      nd  
NGC7727          nid             23.6649578  -12.2928392  Sab     21.00    9.90   Hubble        0.093  -21.250   0.200 -23.933   0.104     850.0   320.0   96         196.10   15.60    7.46    0.53   11.427    0.054    8.38    0.14    nd      nd      nd  
NGC7768        A2666-1           23.8496100   27.1473359  E      112.10    7.90   Hubble        0.128  -23.070   0.200 -25.927   0.104    3000.0  1300.0   7/53       312.80   15.40   15.22    1.07   12.142    0.041    9.04    0.16    9.11    0.14    0.16
NGC7793          nid             23.9638247  -32.5910369  Scd      3.84    0.16   TRGB          0.053  -19.350   0.200 -21.072   0.116      17.0     5.0   70/75        nd      nd      2.16    0.09    nd       nd       6.58    0.11    nd      nd      nd  


  Literature Sources for Globular Cluster Systems 
  (This version:  January 2013) 

1. Adamo, A. et al 2011, MNRAS 414, 1793 
1a. Alamo-Martinez, K.A. et al. 2012, A&A 546, A15
2. Annibali, F. et al 2011, AJ 142, 129 
3. Bassino, L.P. et al. 2006, A&A, 451, 789 
. Bassino, L.P., Richtler, T., & Dirsch, B. 2006, MNRAS, 367, 156 
5. Bassino, L.P., Richtler, T., & Dirsch, B. 2008, MNRAS, 386, 1145 
6. Blakeslee, J. P. 1999, AJ 118, 1506 
7. Blakeslee, J. P. et al 1997, AJ 114, 482 
8. Blecha, A. 1986, A&A 154, 321 
9. Bonfini, P. et al 2012, MNRAS 421. 2827 
10. Bridges, T. J., & Hanes, D. A, 1990, AJ 99, 1100 
10a. Bridges, T. J., & Hanes, D. A, 1994, ApJ 431, 625
11. Brodie, J. P. & Larsen, S. S. 2006, A&A, 448, 155 
12. Brown, R. J. et al. 2000, MNRAS 317, 406 
13. Butterworth, S. T., and Harris, W. E. 1992, AJ 103, 1828 
14. Cantiello, M. et al 2007, ApJ 668, 209 
15. Chandar, R. et al 2002, ApJ 564, 712 
16. Chandar, R. et al 2004, AJ 611, 220 
17. Chapelon, S. et al. 1999, A&A, 346, 721 
18. Cho, J. et al 2012, MNRAS 422, 3591 
19. Chomiuk, L., Strader, J., & Brodie, J.P. 2008, AJ, 136, 234 
20. Cockcroft, R. et al. 2009, AJ 138, 758 
21. DeGraaff, R. et al 2007, ApJ 671, 1624 
22. Di Nino, D., et al. 2009, AJ, 138, 1296 
23. Dirsch, B., Schuberth, Y., & Richtler, T. 2005, A&A, 433, 43 
24. Durrell, P. R. et al 1996, AJ 112, 972 
25. Durrell, P. R. et al. 1996, ApJ, 463, 543 
26. Faifer, F. R. 2011, MNRAS 416, 155 
27. Fischer, P. et al 1990, PASP 102, 5 
28. Forbes, D. A., Brodie, J. P., & Huchra, J. 1997, AJ, 113, 887 
29. Forbes, D. A. et al. 1998, MNRAS, 293, 1334 
30. Forbes, D. A. et al 2000, A&A 358, 471 
31. Forbes, D. A. et al. 2000, A&A, 358, 471 
32. Forbes, D. A. et al 2010, MNRAS 403, 429 
33. Forbes, D. A., Georgakakis, A. E., & Brodie, J. P. 2001, MNRAS, 325, 1431 
34. Forte, J. C. et al. 2001, AJ 121, 1992 
35. Foster, C. et al. 2011, MNRAS 415, 3393 
36. Gebhardt, K. & Kissler-Patig, M. 1999, AJ, 118, 1526 
37. Georgiev, I. et al. 2010, MNRAS 406, 1967 
38. Goudfrooij, P. et al. 2001, MNRAS, 322, 643 
39. Goudfrooij, P. et al 2003, MNRAS 343, 665 
40. Goudfrooij, P. et al. 2007, AJ, 133, 2737 
41. Hanes, D. A. & Harris, W. E. 1986, ApJ, 309, 564 
42. Hargis, J. R. et al 2011, ApJ 738, 113 
42a. Hargis, J.R., & Rhode, K.L. 2012, AJ, 144, 164
43. Harris, G. L. H. 2010, PASA 27, 475
43a. Harris, H.C., and Harris, W.E. 2000, Astrophysical Quantities, p.545
44. Harris, W. E. 1996, AJ 112, 1487 
45. Harris, W. E., & Hanes, D. A. 1985, ApJ 291, 147 
46. Harris, W. E., & van den Bergh, S. 1981, AJ 86, 1627 
46a. Harris, W.E. et al. 1995, ApJ 441, 120
47. Harris, W. E. et al 2009, AJ 137, 3314 
48. Harris, W. E. et al 2013, in preparation 
49. Hilker, M. & Kissler-Patig, M. 1996, A&A, 314, 357 
50. Hodge, P. et al 1999, ApJ 521, 577 
51. Hopp, U., Wagner, S. J., & Richtler, T. 1995, A&A, 296, 633 
51a  Huxor, A.P. et al. 2013, MNRAS, 429, 1039
52. Hwang, N. et al 2011, ApJ 738, 58 
53. Jordan, A. et al. 2004, AJ, 127, 24 
54. Jordan, A. et al. 2005, ApJ, 634, 1002 
55. Jordan, A. et al 2007, ApJS, 169, 213 
55a. Kaisler, D. et al. 1996, AJ 111, 2224
55b. Kalirai, J.S. et al. 2008, ApJ, 682, L37
56. Kaviraj, S. et al 2012, MNRAS 422, L96 
57. Kissler-Patig, M. et al 1996, A&A 308, 704 
58. Kissler-Patig, M. et al. 1997, A&A 327, 503 
59. Kissler-Patig, M. et al 1999, AJ 118, 197 
60. Kundu, A., & Whitmore, B. C. 2001, AJ 121, 2950 
61. Kundu, A., & Whitmore, B. C. 2001, AJ 122, 1251 
62. Larsen, S. S. et al. 2001, AJ 121, 2974 
